YEAR,"Almeida, Monica","Armstrong, Larry","Atkins, Lacy","Ballard, Kathleen","Barmann, Timothy C.","Barnard, Tony","Barr, John T.","Barrera, Aurelio Jose","Becker, David","Bennett, Bruce, $d 1906-2007","Bessel, Larry","Booth, Thelma","Boston, Bernie","Brown, Frank Q.","Brown, Sarah M.","Browne, Rick","Caccavo, James","Carraro, R.","Carrick, Jack","Chamberlin, Bob","Chase, Harry","Cohen, Cassy","Cooper, Gil","Cormier, Don","Corrales, Rick","Cox, Bruce H.","Dare, Ken","Davis, Larry","Diamos, Marianna","Downing, Larry","Downs, Patrick","Dryden, Ian","Durell, Robert","Dykes, Steve","Edwards, Mike","Finley, Howard, $d b. 1899 or 1900","Flynn, Scott","Fontanini, Steve","Frampton, Mary","Friedman, Gary","Fry, George R.","Gabriel, Robert","Gadbery, Brian","Galvez, Jose","Gaunt, Jack","Gladstone, Penni",Goodyear Tire and Rubber Company,"Graham, Ray","Gunderson, Judd","Hackley, Gene","Hall, Kari Rene","Hansen, H.Lee","Harnett, Andrew","Hartnett, Martha","Herod, Jack, $d b. ca. 1916","Hively, Ken","Hurley, Ted","Innerarity, Andrew","Jaskol, Ellen","Kamin, Jayne","Kaul, Rosemary","Kelly, Wayne F.","Kelsey, Thomas","Kennedy, Joe","Keyes, Con","Lachman, Robert","Ledford, Duke Emmett, $d 1894-1961","Leffingwell, Randy","Lindbeck, Bob","Lubas, Ken","Lynn, Bob","Mack, Lou","Mally, Michael","Malmin, John","Maple, Christine","Markado, Al","Martin, Barbara","Mathew, Craig T.","McCarthy, Hilaria","McKoy, Kirk","Meadows, Mike","Melcon, Mel","Meyer, Rick","Miller, Jack","Montney, Cal","Murphy, Bill","Murphy, William S.","Olender, Ben","Oliver, R. L.","Olmos, Edward James","Owens, Charles H.",Pacific Goldfish Farm,"Rapping, Anacleto","Robinson, Julian","Rogers, Art","Romerein, Lisa","Rose, George","Roth, Marissa","Ruhlow, Jerry","Rynearson, Mike","Saxon, Reed","Schneider, Iris","Share, Jeff","Sharkey, Larry","Shepler, Lori","Smith, Gary","Snyder, Bill","Snyder, William Earl, $d 1896-1956","Streano, Vince","Terrell, Maurice","Tiffany, Nelson","Traeger, Marsha","Varie, Bill","Vitti, Joe","Wallace, Gordon Charles, $d 1909-1992","Watson, George R., $d 1892-1977","Whitney, Fitzgerald","Yada, Michael","Yaro, Boris","Yee, Marilynn K.",Unknown 
3/14/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
3/14/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
3/14/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
3/14/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
3/14/33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
3/14/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
3/14/35,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,474
3/14/36,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
3/14/37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3/14/38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
3/14/39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,11
3/14/40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
3/14/41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,9
3/14/42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3/14/43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
3/14/44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
3/14/45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10
3/14/46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,18
