Geographic Coverage,Number ,,,
Marina del Rey (Calif.),2,,,
Maywood (Calif.),1,,,
Mexicali (Mexico),3,,,
Mexico--Boundaries--United States,1,,,
"Mission Gardens (Los Angeles, Calif.)",1,,,
Montebello (Calif.),11,,,
Monterey Park (Calif.),1,,,
Mount Wilson (Calif.),2,,,
"Nevada--Centennial celebrations, etc.",1,,,
New York (N.Y.),1,,,
Newhall (Calif.),5,,,
Newport Beach (Calif.),6,,,
"Nigeria--History--Civil War, 1967-1970--Foreign public opinion",1,,,
Niland (Calif.),4,,,
"North Hollywood (Los Angeles, Calif.)",2,,,
"Northridge (Los Angeles, Calif.)",3,,,
Norwalk (Calif.),2,,,
Oakland (Calif.),1,,,
"Ocean Park (Santa Monica, Calif.)",1,,,
"Olvera Street (Los Angeles, Calif.)",11,,,
Ontario (Calif.),1,,,
Orange (Calif.),4,,,
Orange County (Calif.),1,,,
Oroville (Calif.)--Race relations,1,,,
Pacific Coast (Calif.),1,,,
Pacific Coast Highway,1,,,
"Pacific Palisades (Los Angeles, Calif.)",5,,,
Pacoima Dam (Calif.)--Design and construction,1,,,
"Palestine--History--Partition, 1947--Pulbic opinion",1,,,
Palm Springs (Calif.),5,,,
Palos Verdes Estates (Calif.),4,,,
Palos Verdes Peninsula (Calif.),1,,,
Pasadena (Calif.),302,,,
"Pasadena (Calif.)--Buildings, structures, etc.",1,,,
Pasadena (Calif.)--Officials and employees,1,,,
"Pasadena Harbor Freeway (Los Angeles County, Calif.)--Design and construction",1,,,
Pebble Beach (Calif.),1,,,
Pheonix (Arizona),2,,,
Piru (Calif.),4,,,
Pomona (Calif.),15,,,
"Pomona (Calif.)--Buildings, structures, etc.",1,,,
Rancho Palos Verdes (Calif.),7,,,
Redondo Beach (Calif.),1,,,
Riverside (Calif.),7,,,
Rosemead (Calif.),1,,,
Sacramento County (Calif.),4,,,
San Bernardino (Calif.),1,,,
San Bernardino Freeway (Calif.),1,,,
San Diego (Calif.),20,,,
San Diego County (Calif.),1,,,
San Diego Freeway (Calif.),1,,,
San Diego Freeway (Calif.)--Design and construction,1,,,
San Fernando (Calif.),2,,,
San Fernando (Calif.),1,,,
San Fernando Valley (Calif.),7,,,
San Fernando Valley (Calif.)--Race relations,1,,,
San Francisco (Calif.),16,,,
San Francisquito Canyon (Calif.),19,,,
San Gabriel (Calif.),2,,,
San Gabriel Dam (Calif.)--Design and construction,3,,,
San Gabriel Mountains (Calif.),1,,,
"San Ignacio (Sonora, Mexico)",1,,,
San Marino (Calif.),8,,,
San Onofre (Calif.),1,,,
"San Pedro (Los Angeles, Calif.)",62,,,
San Quentin (Calif.),1,,,
Santa Ana (Calif.),3,,,
Santa Anita Dam (Calif.)--Design and construction,1,,,
Santa Barbara (Calif.),74,,,
Santa Barbara County (Calif.),1,,,
Santa Catalina Island (Calif.),16,,,
Santa Clara River Valley (Calif.),1,,,
Santa Clarita (Calif.),3,,,
Santa Monica (Calif.),23,,,
"Santa Monica (Calif.)--Buildings, structures, etc.",1,,,
Santa Monica (Calif.)--Officials and employees,1,,,
Santa Monica (Calif.)--Social life and customs,2,,,
"Santa Monica Boulevard (Los Angeles, Calif.)",1,,,
Santa Monica Freeway (Calif.),2,,,
Santa Monica Freeway (Calif.)--Design and construction,1,,,
"Santa Monica Pier (Santa Monica, Calif.)",2,,,
Shasta Lake (Calif.),1,,,
"Sherman Oaks (Los Angeles, Calif.)",1,,,
Sierra Madre (Calif.),10,,,
Signal Hill (Calif.)--Race relations,1,,,
Solvang (Calif.),1,,,
South Gate (Calif.),6,,,
South Pasadena (Calif.),1,,,
Spadra (Calif.),4,,,
"Sun Valley (Los Angeles, Calif.)",1,,,
"Sunland (Los Angeles, Calif.)",2,,,
"Sunset Boulevard (Los Angeles, Calif.)",1,,,
"Sylmar (Los Angeles, Calif.)",1,,,
Terminal Island (Calif.),5,,,
Tijuana (Mexico),2,,,
Tombstone (Ariz.),1,,,
Torrance (Calif.),5,,,
"Tujunga (Los Angeles, Calif.)",1,,,
Turkey--Politics and government--Public opinion,1,,,
United States Highway 101,1,,,
United States--Economic conditions--1918-1945,1,,,
United States--Economic conditions--1971-1981--Public opinion,1,,,
United States--Economic policy--1981-1993--Public opinion,1,,,
United States--Emigration and immigration,2,,,
United States--Emigration and immigration--Government policy,1,,,
United States--Emigration and immigration--Public opinion,2,,,
United States--Foreign relations--El Salvador--Public opinion,1,,,
"United States--History--Civil War, 1861-1865--Veterans",1,,,
United States--Politics and government--1969-1974,7,,,
United States--Relations--Mexico,2,,,
"Universal City (Los Angeles, Calif.)",5,,,
Upland (Calif.)--Aerial views,1,,,
Vacaville (Calif.),19,,,
"Van Nuys (Los Angeles, Calif.)",7,,,
"Venice (Los Angeles, Calif.)",8,,,
"Venice (Los Angeles, Calif.)--Buildings, structures, etc.",1,,,
"Venice (Los Angeles, Calif.)--Social life and customs",1,,,
"Venice Fishing Pier (Los Angeles, Calif.)--Design and construction",1,,,
Ventura (Calif.),2,,,
Ventura County (Calif.),8,,,
Ventura Freeway (Calif.),1,,,
Vernon (Calif.),3,,,
Washington (D.C.),2,,,
"Wattles Garden Park (Los Angeles, Calif.)",1,,,
"Watts (Los Angeles, Calif.)",15,,,
"Watts (Los Angeles, Calif.)--Buildings, structures, etc.",1,,,
West Hollywood (Calif.),2,,,
West Hollywood (Calif.)--Officials and employees,1,,,
"West Los Angeles (Los Angeles, Calif.)",3,,,
"Westchester (Los Angeles, Calif.)",3,,,
Westlake Village (Calif.)--Aerial views,1,,,
Westminster (Calif.),3,,,
"Westwood (Los Angeles, Calif.)",7,,,
"Westwood (Los Angeles, Calif.)--Buildings, structures, etc.",2,,,
Whittier (Calif.),4,,,
"Whittier Boulevard (Los Angeles, Calif.)",1,,,
"Wilmington (Los Angeles, Calif.)",1,,,
"Wilshire Boulevard (Los Angeles, Calif.)",2,,,
"Woodland Hills (Los Angeles, Calif.)",1,,,
"Wrigley Field (Chicago, Ill.)",1,,,
Yosemite Valley (Calif.),1,,,
"Zimbabwe--Politics and government--1965-1979--Foreign public opinion, American",1,,,
Unknown,172,,,
